"Week","Year","Status","Total Volume","California","Chile","Mexico","Peru","Colombia","Dominican Republic"
"Jan 5, 2020","2020","Actual","32,537,444","37,220","159,041","32,291,182","N/A","50,000","N/A"
"Jan 12, 2020","2020","Actual","65,307,572","319,866","177,780","64,809,925","N/A","N/A","N/A"
"Jan 19, 2020","2020","Actual","76,375,629","1,604,707","222,755","74,498,167","N/A","50,000","N/A"
"Jan 26, 2020","2020","Actual","66,647,112","2,822,485","N/A","63,774,627","N/A","50,000","N/A"
"Feb 2, 2020","2020","Actual","45,414,983","2,704,489","N/A","42,710,494","N/A","N/A","N/A"
"Feb 9, 2020","2020","Actual","29,476,898","2,489,304","N/A","26,987,593","N/A","N/A","N/A"
"Feb 16, 2020","2020","Actual","50,713,581","5,257,159","N/A","45,456,422","N/A","N/A","N/A"
"Feb 23, 2020","2020","Actual","60,175,473","6,454,635","N/A","53,720,838","N/A","N/A","N/A"
"Mar 1, 2020","2020","Actual","56,195,818","9,785,442","N/A","46,410,376","N/A","N/A","N/A"
"Mar 8, 2020","2020","Actual","47,119,478","8,249,788","N/A","38,869,689","N/A","N/A","N/A"
"Mar 15, 2020","2020","Actual","48,039,847","3,868,964","N/A","44,120,882","50,000","N/A","N/A"
"Mar 22, 2020","2020","Actual","54,765,620","8,086,208","N/A","46,679,412","N/A","N/A","N/A"
"Mar 29, 2020","2020","Actual","36,225,538","8,323,661","N/A","27,901,876","N/A","N/A","N/A"
"Apr 5, 2020","2020","Actual","24,392,863","7,933,743","N/A","16,174,674","284,446","N/A","N/A"
"Apr 12, 2020","2020","Actual","24,945,091","3,115,152","N/A","21,687,715","142,223","N/A","N/A"
"Apr 19, 2020","2020","Actual","65,731,766","15,741,055","N/A","49,706,264","284,446","N/A","N/A"
"Apr 26, 2020","2020","Actual","70,861,471","16,932,573","N/A","53,786,674","142,223","N/A","N/A"
"May 3, 2020","2020","Actual","57,343,819","17,453,801","N/A","39,463,348","426,669","N/A","N/A"
"May 10, 2020","2020","Actual","68,814,562","17,353,081","N/A","50,608,141","853,338","N/A","N/A"
"May 17, 2020","2020","Actual","54,720,342","14,715,907","N/A","38,724,426","1,280,008","N/A","N/A"
"May 24, 2020","2020","Actual","51,932,040","16,615,963","N/A","33,372,360","1,943,716","N/A","N/A"
"May 31, 2020","2020","Actual","51,667,453","11,861,004","N/A","35,634,569","4,171,879","N/A","N/A"
"Jun 7, 2020","2020","Actual","54,322,214","12,247,478","N/A","33,956,728","8,022,343","95,663","N/A"
"Jun 14, 2020","2020","Actual","64,385,710","13,344,459","N/A","39,424,664","11,425,260","191,326","N/A"
"Jun 21, 2020","2020","Actual","65,624,404","13,754,827","N/A","39,545,860","12,136,375","187,340","N/A"
"Jun 28, 2020","2020","Actual","67,186,115","15,228,590","N/A","35,035,819","16,687,516","234,188","N/A"
"Jul 5, 2020","2020","Actual","55,217,288","11,780,040","N/A","26,616,471","16,634,420","186,356","N/A"
"Jul 12, 2020","2020","Actual","52,258,875","11,391,217","N/A","25,273,369","15,360,100","234,188","N/A"
"Jul 19, 2020","2020","Actual","55,528,282","10,130,158","N/A","29,182,989","16,023,808","191,326","N/A"
"Jul 26, 2020","2020","Actual","59,549,678","9,483,748","N/A","36,790,367","12,992,559","283,003","N/A"
"Aug 2, 2020","2020","Actual","61,589,035","9,301,142","N/A","38,468,421","13,484,651","334,820","N/A"
"Aug 9, 2020","2020","Actual","52,326,427","9,553,079","N/A","32,109,326","10,524,513","139,508","N/A"
"Aug 16, 2020","2020","Actual","45,333,672","8,693,483","N/A","28,246,903","8,154,127","239,157","N/A"
"Aug 23, 2020","2020","Actual","54,176,904","7,873,941","N/A","39,333,180","6,874,119","95,663","N/A"
"Aug 30, 2020","2020","Actual","48,717,827","8,494,500","N/A","34,643,071","5,451,887","128,368","N/A"
"Sep 6, 2020","2020","Actual","52,693,480","8,453,470","N/A","39,925,907","4,314,102","N/A","N/A"
"Sep 13, 2020","2020","Actual","50,284,383","5,945,695","50,794","41,917,507","2,370,385","N/A","N/A"
"Sep 20, 2020","2020","Actual","45,986,305","6,779,219","198,945","38,249,616","758,523","N/A","N/A"
"Sep 27, 2020","2020","Actual","56,022,215","5,944,327","551,263","49,431,809","94,815","N/A","N/A"
"Oct 4, 2020","2020","Actual","52,210,342","3,964,963","456,910","47,788,469","N/A","N/A","N/A"
"Oct 11, 2020","2020","Actual","56,934,734","2,412,058","405,483","54,117,193","N/A","N/A","N/A"
"Oct 18, 2020","2020","Actual","55,700,190","2,203,774","255,824","52,907,739","N/A","332,851","N/A"
"Oct 25, 2020","2020","Actual","55,363,816","1,974,640","131,219","52,925,105","N/A","332,851","N/A"
"Nov 1, 2020","2020","Actual","49,583,231","1,314,534","N/A","48,220,715","N/A","47,981","N/A"
"Nov 8, 2020","2020","Actual","42,926,514","1,634,969","N/A","41,148,050","N/A","143,494","N/A"
"Nov 15, 2020","2020","Actual","56,990,553","1,390,168","N/A","55,600,384","N/A","N/A","N/A"
